tag,seed,condition,axis,group,samples,sequences,supported,accuracy,macro_f1
redundant36,7,sparse_single,N_x_original_shape,5-8:compact,0,0,False,,
redundant36,7,sparse_single,N_x_original_shape,9-16:elongated,0,0,False,,
redundant36,7,sparse_single,N_x_original_shape,9-16:intermediate,0,0,False,,
redundant36,7,sparse_single,N_x_original_shape,9-16:compact,0,0,False,,
redundant36,7,sparse_single,N_x_original_shape,17-32:elongated,0,0,False,,
redundant36,7,sparse_single,N_x_original_shape,17-32:intermediate,0,0,False,,
redundant36,7,sparse_single,N_x_original_shape,17-32:compact,0,0,False,,
redundant36,7,sparse_single,N_x_original_shape,33-64:elongated,0,0,False,,
redundant36,7,sparse_single,N_x_original_shape,33-64:intermediate,0,0,False,,
redundant36,7,sparse_single,N_x_original_shape,33-64:compact,0,0,False,,
redundant36,7,sparse_single,N_x_original_shape,65-511:elongated,0,0,False,,
redundant36,7,sparse_single,N_x_original_shape,65-511:intermediate,0,0,False,,
redundant36,7,sparse_single,N_x_original_shape,65-511:compact,0,0,False,,
redundant36,7,sparse_single,history,none,97734,27,True,0.9542738453352978,0.9540428501850617
redundant36,7,sparse_single,history,one_to_five,0,0,False,,
redundant36,7,sparse_single,history,six,0,0,False,,
redundant36,7,sparse_single,current_points,1,58612,27,True,0.9540025933255989,0.9533061757050095
redundant36,7,sparse_single,current_points,2,39122,27,True,0.954680231072031,0.9546786782151364
redundant36,7,sparse_single,current_points,ge3,0,0,False,,
redundant36,7,sparse_single,current_range,le20,11734,27,True,0.9434123061189705,0.9372095730318404
redundant36,7,sparse_single,current_range,20to40,33802,26,True,0.960623631737767,0.954145556788963
redundant36,7,sparse_single,current_range,gt40,52198,27,True,0.9526035480286601,0.9509925161177533
redundant36,7,sparse_single,N_x_original_shape,1-2:undefined_low_support,97734,27,True,0.9542738453352978,0.9540428501850617
redundant36,7,sparse_single,N_x_original_shape,3-4:undefined_low_support,0,0,False,,
redundant36,7,sparse_single,N_x_original_shape,5-8:undefined_low_support,0,0,False,,
redundant36,7,sparse_single,N_x_original_shape,9-16:undefined_low_support,0,0,False,,
redundant36,7,sparse_single,N_x_original_shape,17-32:undefined_low_support,0,0,False,,
redundant36,7,sparse_single,N_x_original_shape,33-64:undefined_low_support,0,0,False,,
redundant36,7,sparse_single,N_x_original_shape,65-511:undefined_low_support,0,0,False,,
redundant36,7,sparse_context,retained_N,1-2,29596,27,True,0.9436072442221922,0.9429116114793963
redundant36,7,sparse_context,retained_N,3-4,4536,26,True,0.9554673721340388,0.9552216748768473
redundant36,7,sparse_context,retained_N,5-8,7975,27,True,0.9612539184952978,0.9611334480346974
redundant36,7,sparse_context,retained_N,9-16,6694,26,True,0.9678816850911264,0.9674430387776005
redundant36,7,sparse_context,retained_N,17-32,47667,27,True,0.9863427528478822,0.985841368795407
redundant36,7,sparse_context,retained_N,33-64,1126,25,True,0.9955595026642984,0.992876979231903
redundant36,7,sparse_context,retained_N,65-511,140,16,True,1.0,1.0
redundant36,7,sparse_context,original_shape,compact,2856,24,True,0.9796918767507002,0.9653346704357777
redundant36,7,sparse_context,original_shape,elongated,44205,27,True,0.9790068996719828,0.9788846891995147
redundant36,7,sparse_context,original_shape,intermediate,21077,27,True,0.9812117474023817,0.9803156628749626
redundant36,7,sparse_context,original_shape,undefined_low_support,29596,27,True,0.9436072442221922,0.9429116114793963
redundant36,7,sparse_context,N_x_original_shape,1-2:elongated,0,0,False,,
redundant36,7,sparse_context,N_x_original_shape,1-2:intermediate,0,0,False,,
redundant36,7,sparse_context,N_x_original_shape,1-2:compact,0,0,False,,
redundant36,7,sparse_context,N_x_original_shape,3-4:elongated,3285,25,True,0.9534246575342465,0.9532298662206953
redundant36,7,sparse_context,N_x_original_shape,3-4:intermediate,1146,26,True,0.9616055846422339,0.9614699256968026
redundant36,7,sparse_context,N_x_original_shape,3-4:compact,105,18,True,0.9523809523809523,0.9334516415261758
redundant36,7,sparse_context,N_x_original_shape,5-8:elongated,5663,26,True,0.9638001059509094,0.963799816977682
redundant36,7,sparse_context,N_x_original_shape,5-8:intermediate,2084,27,True,0.9529750479846449,0.9512502052803844
redundant36,7,sparse_context,N_x_original_shape,5-8:compact,228,20,True,0.9736842105263158,0.9711148648648649
redundant36,7,sparse_context,N_x_original_shape,9-16:elongated,4896,26,True,0.9730392156862745,0.9728176776618169
redundant36,7,sparse_context,N_x_original_shape,9-16:intermediate,1577,26,True,0.958148383005707,0.9563157894736842
redundant36,7,sparse_context,N_x_original_shape,9-16:compact,221,19,True,0.9230769230769231,0.9228494568453909
redundant36,7,sparse_context,N_x_original_shape,17-32:elongated,29532,27,True,0.985168630637952,0.9849619692334478
