tag,reference,seed,condition,delta_macro_f1,new_errors,repaired_errors
asymmetry28,base16,17,uniform_half_1,0.002221161927311699,554,727
asymmetry28,base16,37,uniform_half_1,0.000955461136443958,602,675
asymmetry28,base16,7,uniform_half_2,0.0036985581148302193,554,841
asymmetry28,base16,17,uniform_half_2,0.0022020863577956185,545,716
asymmetry28,base16,37,uniform_half_2,0.0019610586396818785,551,700
asymmetry28,base16,7,uniform_quarter_0,0.0021879893181696586,749,923
asymmetry28,base16,17,uniform_quarter_0,0.0023275426394628873,681,863
asymmetry28,base16,37,uniform_quarter_0,0.001986603421426203,714,863
asymmetry28,base16,7,uniform_quarter_1,0.001495621818649151,784,906
asymmetry28,base16,17,uniform_quarter_1,0.0013492804283268267,727,834
asymmetry28,base16,37,uniform_quarter_1,0.0009838825058231526,741,814
asymmetry28,base16,7,uniform_quarter_2,0.00276433399077769,745,964
asymmetry28,base16,17,uniform_quarter_2,0.0021992429438850714,693,866
asymmetry28,base16,37,uniform_quarter_2,0.0020800368737774466,720,876
asymmetry28,base16,7,central_half,0.010044411047831936,400,1183
asymmetry28,base16,17,central_half,0.005635017548037746,494,934
asymmetry28,base16,37,central_half,0.003767424463101632,537,829
asymmetry28,base16,7,xy_fraction6,0.004405013012225734,394,731
asymmetry28,base16,17,xy_fraction6,0.002818079648033822,411,626
asymmetry28,base16,37,xy_fraction6,0.0028566643513846524,426,643
asymmetry28,base16,7,xy_fraction4,0.004587795335923239,387,738
asymmetry28,base16,17,xy_fraction4,0.0029089840147722423,413,635
asymmetry28,base16,37,xy_fraction4,0.002935296616956684,419,642
asymmetry28,base16,7,kept_single,-0.0012302675327243717,1066,984
asymmetry28,base16,17,kept_single,-0.00132487618788113,976,880
asymmetry28,base16,37,kept_single,-0.0018863295199071928,1054,912
asymmetry28,base16,7,sparse_single,-0.0036765419660172993,1129,765
asymmetry28,base16,17,sparse_single,-0.002832548886456898,1015,736
asymmetry28,base16,37,sparse_single,-0.0031221957761461416,1059,754
asymmetry28,base16,7,sparse_context,0.001159786231692883,844,953
asymmetry28,base16,17,sparse_context,0.0021574730128723907,633,841
asymmetry28,base16,37,sparse_context,0.0003031785854119562,920,949
asymmetry28,combined23,7,clean,0.0010451657551149296,295,377
asymmetry28,combined23,17,clean,-0.0014563933884185198,366,255
asymmetry28,combined23,37,clean,-6.53327440031104e-05,281,276
asymmetry28,combined23,7,uniform_half_0,0.001324290703412112,342,447
asymmetry28,combined23,17,uniform_half_0,-0.0008394666824136365,419,355
asymmetry28,combined23,37,uniform_half_0,-7.637257018844323e-05,352,348
asymmetry28,combined23,7,uniform_half_1,0.00047962685135694016,409,450
asymmetry28,combined23,17,uniform_half_1,-0.0004610494296692913,426,391
asymmetry28,combined23,37,uniform_half_1,-0.00044526257569033056,388,356
asymmetry28,combined23,7,uniform_half_2,0.0009951471824206637,385,465
asymmetry28,combined23,17,uniform_half_2,-0.0007869548894310352,422,362
asymmetry28,combined23,37,uniform_half_2,-0.0003009436861707293,370,349
asymmetry28,combined23,7,uniform_quarter_0,0.0004256594625666743,529,568
asymmetry28,combined23,17,uniform_quarter_0,0.00019142057529641932,516,528
asymmetry28,combined23,37,uniform_quarter_0,0.00012501944668485976,461,472
asymmetry28,combined23,7,uniform_quarter_1,0.0005651648383385721,544,594
asymmetry28,combined23,17,uniform_quarter_1,-0.001214022173328111,575,480
asymmetry28,combined23,37,uniform_quarter_1,0.00079494608717956,442,504
asymmetry28,combined23,7,uniform_quarter_2,0.000925551149961068,530,607
asymmetry28,combined23,17,uniform_quarter_2,-0.00038962381500162735,532,500
asymmetry28,combined23,37,uniform_quarter_2,0.0009377386052116243,439,512
asymmetry28,combined23,7,central_half,0.0040750426249529514,303,621
asymmetry28,combined23,17,central_half,-0.0014892844779038628,448,333
asymmetry28,combined23,37,central_half,-0.0006520713180432347,365,315
asymmetry28,combined23,7,xy_fraction6,0.0009799301816906247,292,369
asymmetry28,combined23,17,xy_fraction6,-0.0012057928416346897,352,260
asymmetry28,combined23,37,xy_fraction6,-0.00022301785964651266,277,260
asymmetry28,combined23,7,xy_fraction4,0.001203405681590719,276,370
asymmetry28,combined23,17,xy_fraction4,-0.0012609087463821833,355,259
asymmetry28,combined23,37,xy_fraction4,-0.00019812511736938543,285,270
asymmetry28,combined23,7,kept_single,0.0006110595679329478,760,818
asymmetry28,combined23,17,kept_single,-0.0016190662405003442,804,674
asymmetry28,combined23,37,kept_single,-0.0009046268993226914,677,613
asymmetry28,combined23,7,sparse_single,0.0010555769485749433,718,817
asymmetry28,combined23,17,sparse_single,-0.0002656622335983627,702,675
asymmetry28,combined23,37,sparse_single,-0.0024413411978392308,768,528
asymmetry28,combined23,7,sparse_context,-0.0013507014569208442,723,588
asymmetry28,combined23,17,sparse_context,0.0009989958673555233,467,564
asymmetry28,combined23,37,sparse_context,-0.000690293613768711,641,573
asymmetry28,support24,7,clean,0.0010902332753072175,252,337
asymmetry28,support24,17,clean,-0.001341333792285515,328,226
asymmetry28,support24,37,clean,0.00011729714117680867,309,316
asymmetry28,support24,7,uniform_half_0,0.0018710859974766514,322,468
asymmetry28,support24,17,uniform_half_0,-0.0011890385111124058,422,331
asymmetry28,support24,37,uniform_half_0,0.00035036794284293293,388,412
asymmetry28,support24,7,uniform_half_1,0.0020477240131144825,353,513
asymmetry28,support24,17,uniform_half_1,-0.0006813727890719878,401,349
asymmetry28,support24,37,uniform_half_1,-0.00017102794042067604,418,402
asymmetry28,support24,7,uniform_half_2,0.0016446877188310838,347,476
asymmetry28,support24,17,uniform_half_2,-0.0010489495342671518,410,330
asymmetry28,support24,37,uniform_half_2,0.00042954252919980007,397,426
asymmetry28,support24,7,uniform_quarter_0,0.0006637695894116113,494,552
asymmetry28,support24,17,uniform_quarter_0,-0.001038505132077594,496,416
asymmetry28,support24,37,uniform_quarter_0,3.1914886978068324e-05,502,500
asymmetry28,support24,7,uniform_quarter_1,0.0013219287708891025,500,609
asymmetry28,support24,17,uniform_quarter_1,-0.000907998008749189,505,436
asymmetry28,support24,37,uniform_quarter_1,-0.00024349459267558604,517,493
asymmetry28,support24,7,uniform_quarter_2,0.0010801303337901746,516,606
asymmetry28,support24,17,uniform_quarter_2,-0.001378501789251918,497,392
asymmetry28,support24,37,uniform_quarter_2,0.0005982758391902543,487,527
asymmetry28,support24,7,central_half,0.003931269078628619,266,572
asymmetry28,support24,17,central_half,-0.0017889729862493597,421,283
asymmetry28,support24,37,central_half,-0.004041835218817291,521,207
asymmetry28,support24,7,xy_fraction6,0.0010516133174924835,243,325
asymmetry28,support24,17,xy_fraction6,-0.0011432557679627031,311,224
asymmetry28,support24,37,xy_fraction6,3.836290442882362e-05,313,314
asymmetry28,support24,7,xy_fraction4,0.0014186769100221763,226,336
