tag,seed,condition,samples,accuracy,macro_f1,recall_class0,f1_class0,precision_class0,true0_pred0,true0_pred1,recall_class1,f1_class1,precision_class1,true1_pred0,true1_pred1
asymmetry28,7,uniform_half_1,80450,0.9814418893722809,0.9803613269186033,0.9835008347791927,0.975754721577161,0.9681296725960299,30043,504,0.9801815522112899,0.9849679322600458,0.9898012869804524,989,48914
asymmetry28,7,uniform_half_2,80450,0.9814791796146675,0.9804076694849849,0.9844829279470979,0.9758258160815108,0.9673196307375599,30073,474,0.9796405025749955,0.9849895228884591,0.9903972772026499,1016,48887
asymmetry28,7,uniform_quarter_0,80450,0.9727905531385954,0.971278138282557,0.978819524012178,0.9646872832276694,0.9509573182367533,29900,647,0.9691000541049636,0.9778689933374448,0.9867980737838721,1542,48361
asymmetry28,7,uniform_quarter_1,80450,0.9728899937849596,0.9713741299167845,0.9780993223557142,0.9647867994898042,0.9518317935648296,29878,669,0.9697012203675129,0.9779614603437649,0.9863636363636363,1512,48391
asymmetry28,7,uniform_quarter_2,80450,0.973349906774394,0.9718667190361729,0.9793760434739909,0.9654070799315886,0.9518309948776685,29917,630,0.9696611426166764,0.9783263581407574,0.9871478406332238,1514,48389
asymmetry28,7,central_half,80450,0.9756246115599752,0.9743845432431806,0.9949913248436835,0.9687485059522861,0.9438544189801875,30394,153,0.9637697132436928,0.980020580534075,0.9968288840988228,1808,48095
asymmetry28,7,xy_fraction6,80450,0.9864014916096955,0.9856122792037407,0.9905064327102497,0.9822425659005324,0.9741154502430701,30257,290,0.9838887441636776,0.9889819925069492,0.9941282471805463,804,49099
asymmetry28,7,xy_fraction4,80450,0.9865879428216283,0.9858087644315776,0.9906046420270403,0.9824834818747058,0.9744943964962,30260,287,0.9841292106686973,0.9891340469884493,0.9941900481800883,792,49111
asymmetry28,7,kept_single,80450,0.9665382224984462,0.964673807145937,0.9702425770124726,0.956558223599277,0.9432545113140893,29638,909,0.9642706851291506,0.972789390692597,0.9814599522731444,1783,48120
asymmetry28,7,sparse_single,97734,0.951245216608345,0.9510240980838469,0.9708934841982052,0.9543149154849906,0.9382930186082464,49768,1492,0.9295735249817102,0.9477332806827031,0.9666166961269103,3273,43201
asymmetry28,7,sparse_context,97734,0.9668180981030143,0.9666952818447557,0.9795747171283652,0.9687177459028253,0.9580987998244577,50213,1047,0.9527477729483151,0.9646728177866861,0.9769001654715941,2196,44278
asymmetry28,17,clean,80450,0.9839154754505904,0.9830075659267995,0.9912593708056437,0.9790797684870824,0.9671958347973296,30280,267,0.9794200749453941,0.9869353633665165,0.9945668762590807,1027,48876
asymmetry28,17,uniform_half_0,80450,0.9796022374145432,0.9784627311658343,0.9870691066225816,0.9735087577689886,0.960315943690681,30152,395,0.9750315612287839,0.98341670456268,0.9919473212101443,1246,48657
asymmetry28,17,uniform_half_1,80450,0.9796022374145432,0.9784494226556786,0.9853995482371427,0.9734650647607651,0.9618162065439673,30101,446,0.9760535438751178,0.983433780550592,0.9909264759734712,1195,48708
asymmetry28,17,uniform_half_2,80450,0.979477936606588,0.9783317480239881,0.9869381608668609,0.9733481847385669,0.9601273885350319,30148,399,0.974911327976274,0.9833153113094095,0.9918654434250764,1252,48651
asymmetry28,17,uniform_quarter_0,80450,0.9720323182100684,0.9705474113121453,0.984319245752447,0.9639342160100023,0.9443763937309589,30068,479,0.9645111516341703,0.9771606066142883,0.9901462631914587,1771,48132
asymmetry28,17,uniform_quarter_1,80450,0.9718334369173399,0.9703309867093988,0.9834026254624022,0.9636544445513746,0.9446837950878958,30040,507,0.9647516181391901,0.9770075288674229,0.9895788370228772,1759,48144
asymmetry28,17,uniform_quarter_2,80450,0.9719453076444997,0.9704507396275123,0.9837299898517039,0.9638051862661771,0.9446714869537881,30050,497,0.9647315792637717,0.9770962929888475,0.9897820723684211,1760,48143
asymmetry28,17,central_half,80450,0.9713486637663145,0.9699600258190862,0.9959734180115887,0.9635013380203632,0.9330798012635712,30424,123,0.9562751738372443,0.9764187136178093,0.997429144720341,2182,47721
asymmetry28,17,xy_fraction6,80450,0.9841392169049099,0.9832447502903638,0.991684944511736,0.979373444117552,0.967363883123104,30293,254,0.9795202693224856,0.9871160564631758,0.9948305688409484,1022,48881
asymmetry28,17,xy_fraction4,80450,0.9841640770665009,0.983269184182572,0.9914230530002947,0.979399780091844,0.9676646323928811,30285,262,0.9797206580766687,0.9871385882732999,0.9946697047993002,1012,48891
asymmetry28,17,kept_single,80450,0.9656059664387818,0.9638366198867371,0.9802599273251056,0.9558375229431011,0.9326024666749719,29944,603,0.9566358735947739,0.9718357168303731,0.9875263745811096,2164,47739
asymmetry28,17,sparse_single,97734,0.953117645855076,0.9528720026347055,0.9774483027701912,0.9562744536692432,0.9359985055109284,50104,1156,0.9262813616215518,0.9494695516001677,0.9738485204958828,3426,43048
asymmetry28,17,sparse_context,97734,0.9689667874025416,0.9688327618782318,0.9862465860319938,0.9708765831596938,0.9559782917005465,50555,705,0.9499074751473943,0.9667889405967698,0.9842812869278277,2328,44146
asymmetry28,37,clean,80450,0.9863890615288999,0.9855951296945736,0.9897534946148558,0.9822133424297061,0.9747872066030436,30234,313,0.9843295994228803,0.9889769169594411,0.9936683254440264,782,49121
asymmetry28,37,uniform_half_0,80450,0.9816407706650093,0.9805717882510229,0.9837627262906341,0.9760145504149141,0.9683874709976799,30051,496,0.9803418632146363,0.9851290260871316,0.9899631713140961,981,48922
asymmetry28,37,uniform_half_1,80450,0.9806836544437539,0.9795504731642004,0.9814057026876616,0.9747366367538042,0.9681575972872598,29979,568,0.9802416688375448,0.9843643095745965,0.9885217742750328,986,48917
asymmetry28,37,uniform_half_2,80450,0.9816159105034182,0.9805485993027077,0.9841555635577962,0.9759922084246409,0.9679631656899994,30063,484,0.98006131895878,0.9851049901807745,0.9902008422416586,995,48908
asymmetry28,37,uniform_quarter_0,80450,0.973586078309509,0.9721272670717804,0.9807837103479884,0.9657506648400355,0.9511715029525685,29960,587,0.9691802096066369,0.9785038693035254,0.9880086615460042,1538,48365
asymmetry28,37,uniform_quarter_1,80450,0.9738968303293971,0.9724536933386209,0.9810456018594297,0.9661486878586627,0.9516974181460193,29968,579,0.9695208704887481,0.978758698818579,0.9881742611466269,1521,48382
