configuration,condition,mean_f1_percent,seed_std_pp
A 普通训练,clean,98.08745646096092,0.07238889981580543
A 普通训练,uniform_quarter_0,95.69610895952519,0.17127798323220447
A 普通训练,central_half,95.27592947429515,0.0516062573820335
A 普通训练,kept_single,95.25694098552776,0.1963476670015155
A 普通训练,sparse_single,90.97747277870734,1.0651576831139737
A 普通训练,sparse_context,94.44483735483333,0.5763670699538772
B 扰动训练,clean,98.1205078182504,0.13080254058849106
B 扰动训练,uniform_quarter_0,97.03650553281449,0.05509275203076647
B 扰动训练,central_half,97.00934985434829,0.2225704025448621
B 扰动训练,kept_single,96.73066961917142,0.13834262109190817
B 扰动训练,sparse_single,94.22351640064527,0.42199232692319766
B 扰动训练,sparse_context,96.08864892211068,0.22203874190805056
C 正确判断保护,clean,98.13325311568232,0.08594532731215584
C 正确判断保护,uniform_quarter_0,97.00655975905651,0.038892461175376786
C 正确判断保护,central_half,96.6675312710126,0.1880326512296649
C 正确判断保护,kept_single,96.7194520954734,0.0596835113412178
C 正确判断保护,sparse_single,94.3654410369887,0.2459361251409597
C 正确判断保护,sparse_context,96.21582466714128,0.15091372438129774
D 保护＋分组约束,clean,98.1124975084363,0.08568152511736178
D 保护＋分组约束,uniform_quarter_0,96.80285963710767,0.12026690875959657
D 保护＋分组约束,central_half,96.41662557473916,0.39690667960178483
D 保护＋分组约束,kept_single,96.5321701949508,0.10984634748083574
D 保护＋分组约束,sparse_single,93.76165946960376,1.0875607272558836
D 保护＋分组约束,sparse_context,96.27603610192507,0.20177541122697973
