tag,input_column,canonical_column,feature_name
width28,26,26,IQR_over_range_vr
width28,27,27,IQR_over_range_rcs
asymmetry28,0,0,点数
asymmetry28,1,1,x代理均值
asymmetry28,2,2,y代理均值
asymmetry28,3,3,x跨度
asymmetry28,4,4,y跨度
asymmetry28,5,5,点距离代理最小值
asymmetry28,6,6,点距离代理最大值
asymmetry28,7,7,代理中心距离
asymmetry28,8,8,原LUT密度代理
asymmetry28,9,9,径向速度代理均值
asymmetry28,10,10,径向速度离散代理（跨度右移2）
asymmetry28,11,11,径向速度最小值
asymmetry28,12,12,径向速度最大值
asymmetry28,13,13,RCS代理均值
asymmetry28,14,14,RCS离散代理（跨度右移2）
asymmetry28,15,15,RCS最大值
asymmetry28,16,16,4Var(x)/span(x)^2
asymmetry28,17,17,4Var(y)/span(y)^2
asymmetry28,18,18,"4Cov(x,y)/(span(x)*span(y))"
asymmetry28,19,19,4Var(vr_compensated)/span(vr)^2
asymmetry28,20,20,4Var(RCS)/span(RCS)^2
asymmetry28,21,21,fraction_abs_vr_le_0.5_m_per_s
asymmetry28,22,22,2*(mean_RCS-min_RCS)/span_RCS-1
asymmetry28,23,23,inverse_retained_count
asymmetry28,24,28,quartile_asymmetry_x
asymmetry28,25,29,quartile_asymmetry_y
asymmetry28,26,30,quartile_asymmetry_vr
asymmetry28,27,31,quartile_asymmetry_rcs
quantile32,0,0,点数
quantile32,1,1,x代理均值
quantile32,2,2,y代理均值
quantile32,3,3,x跨度
quantile32,4,4,y跨度
quantile32,5,5,点距离代理最小值
quantile32,6,6,点距离代理最大值
quantile32,7,7,代理中心距离
quantile32,8,8,原LUT密度代理
quantile32,9,9,径向速度代理均值
quantile32,10,10,径向速度离散代理（跨度右移2）
quantile32,11,11,径向速度最小值
quantile32,12,12,径向速度最大值
quantile32,13,13,RCS代理均值
quantile32,14,14,RCS离散代理（跨度右移2）
quantile32,15,15,RCS最大值
quantile32,16,16,4Var(x)/span(x)^2
quantile32,17,17,4Var(y)/span(y)^2
quantile32,18,18,"4Cov(x,y)/(span(x)*span(y))"
quantile32,19,19,4Var(vr_compensated)/span(vr)^2
quantile32,20,20,4Var(RCS)/span(RCS)^2
quantile32,21,21,fraction_abs_vr_le_0.5_m_per_s
quantile32,22,22,2*(mean_RCS-min_RCS)/span_RCS-1
quantile32,23,23,inverse_retained_count
quantile32,24,24,IQR_over_range_x
quantile32,25,25,IQR_over_range_y
quantile32,26,26,IQR_over_range_vr
quantile32,27,27,IQR_over_range_rcs
quantile32,28,28,quartile_asymmetry_x
quantile32,29,29,quartile_asymmetry_y
quantile32,30,30,quartile_asymmetry_vr
quantile32,31,31,quartile_asymmetry_rcs
full36,0,0,点数
full36,1,1,x代理均值
full36,2,2,y代理均值
full36,3,3,x跨度
full36,4,4,y跨度
full36,5,5,点距离代理最小值
full36,6,6,点距离代理最大值
full36,7,7,代理中心距离
full36,8,8,原LUT密度代理
full36,9,9,径向速度代理均值
full36,10,10,径向速度离散代理（跨度右移2）
full36,11,11,径向速度最小值
full36,12,12,径向速度最大值
full36,13,13,RCS代理均值
full36,14,14,RCS离散代理（跨度右移2）
full36,15,15,RCS最大值
full36,16,16,4Var(x)/span(x)^2
full36,17,17,4Var(y)/span(y)^2
full36,18,18,"4Cov(x,y)/(span(x)*span(y))"
full36,19,19,4Var(vr_compensated)/span(vr)^2
full36,20,20,4Var(RCS)/span(RCS)^2
full36,21,21,fraction_abs_vr_le_0.5_m_per_s
full36,22,22,2*(mean_RCS-min_RCS)/span_RCS-1
full36,23,23,inverse_retained_count
full36,24,24,IQR_over_range_x
full36,25,25,IQR_over_range_y
full36,26,26,IQR_over_range_vr
full36,27,27,IQR_over_range_rcs
full36,28,28,quartile_asymmetry_x
full36,29,29,quartile_asymmetry_y
full36,30,30,quartile_asymmetry_vr
