pool,label,feature,samples,mean,q10,median,q90,zero_fraction,maximum_fraction
kept,0,inverse_retained_count,124442,0.04632699267166426,0.023622047244094488,0.03937007874015748,0.047244094488188976,0.0,0.0
kept,0,IQR_over_range_x,124442,0.44426825285080473,0.25196850393700787,0.4330708661417323,0.6614173228346457,0.0,3.2143488532810465e-05
kept,0,IQR_over_range_y,124442,0.43082525116529635,0.23622047244094488,0.41732283464566927,0.6456692913385826,0.0,0.0
kept,0,IQR_over_range_vr,124442,0.2843129525477321,0.13385826771653545,0.28346456692913385,0.4409448818897638,0.00023304029186287589,0.0
kept,0,IQR_over_range_rcs,124442,0.3485425395659136,0.23622047244094488,0.33858267716535434,0.48031496062992124,0.0,0.0
kept,0,quartile_asymmetry_x,124442,0.005823729411557761,-0.4881889763779528,0.007874015748031496,0.5039370078740157,0.009418042140113466,0.0004419729673261439
kept,0,quartile_asymmetry_y,124442,-0.004365756453343157,-0.49606299212598426,-0.007874015748031496,0.4881889763779528,0.008807315857990067,0.00031339901319490205
kept,0,quartile_asymmetry_vr,124442,-0.006745893194780556,-0.4251968503937008,0.0,0.3937007874015748,0.009747512897574773,0.00011250220986483662
kept,0,quartile_asymmetry_rcs,124442,-0.002101665298459251,-0.3464566929133858,-0.007874015748031496,0.33858267716535434,0.011692193953809807,8.839459346522878e-05
kept,0,median_position_x,124442,-0.06345314460127964,-0.4566929133858268,-0.06299212598425197,0.3228346456692913,0.01173237331447582,0.000377685990260523
kept,0,median_position_y,124442,0.005722553352179879,-0.4015748031496063,0.007874015748031496,0.4094488188976378,0.010358239179698173,0.00027321965252888894
kept,0,median_position_vr,124442,0.016430511156131682,-0.4015748031496063,0.007874015748031496,0.4330708661417323,0.009964481445171244,5.625110493241831e-05
kept,0,median_position_rcs,124442,0.0025793884055905878,-0.28346456692913385,0.007874015748031496,0.2755905511811024,0.01461725141029556,8.035872133202617e-05
kept,1,inverse_retained_count,233338,0.04113572396718545,0.015748031496062992,0.031496062992125984,0.047244094488188976,0.0022628118866194103,0.0
kept,1,IQR_over_range_x,233338,0.4465577730065196,0.29133858267716534,0.4330708661417323,0.6299212598425197,0.0,0.0
kept,1,IQR_over_range_y,233338,0.3797168488576235,0.2125984251968504,0.36220472440944884,0.5669291338582677,0.0,0.0
kept,1,IQR_over_range_vr,233338,0.26142503021705593,0.007874015748031496,0.2047244094488189,0.6062992125984252,0.05964737848100181,0.0005271323144965672
kept,1,IQR_over_range_rcs,233338,0.4105567045014555,0.25984251968503935,0.3937007874015748,0.5905511811023622,0.0,0.0
kept,1,quartile_asymmetry_x,233338,0.06046721585253334,-0.2755905511811024,0.05511811023622047,0.4094488188976378,0.013388303662498179,9.428382860914211e-05
kept,1,quartile_asymmetry_y,233338,0.06213230066107339,-0.36220472440944884,0.06299212598425197,0.49606299212598426,0.009621236146705637,0.00011999760004799904
kept,1,quartile_asymmetry_vr,233338,0.053182963337358675,-0.41732283464566927,0.023622047244094488,0.5984251968503937,0.029686549126160335,0.010769784604307914
