tag,dim,clean,quarter_mean,central,sparse_single,sparse_context,composite
A,21,0.9808745646096092,0.957659484388307,0.9527592947429516,0.9097747277870734,0.9444483735483334,0.9491032890152549
B,21,0.9812050781825041,0.9709818213808353,0.9700934985434829,0.9422351640064527,0.9608864892211068,0.9650804102668763
full21,21,0.9804670365688363,0.9680236089882244,0.9660423432313038,0.9541908934001931,0.9648626703880039,0.9667173105153123
dedup20,20,0.9809034865809189,0.9690870140412541,0.9666131278689734,0.9549878869550961,0.9660551102047846,0.9675293251302053
no_rcs18,18,0.9619439841168541,0.9433268189540905,0.9396951753193047,0.9431772465564494,0.952150917932411,0.9480588285758219
less_shape16,16,0.9814311857274016,0.9695452556313633,0.9658980412736066,0.9551365232636856,0.966136517685516,0.9676295047163146
