tag,reference,seed,condition,delta_macro_f1,new_errors,repaired_errors
dedup20,A,7,kept_single,0.012869930984212963,747,1707
dedup20,A,17,kept_single,0.014014878083410509,896,1932
dedup20,A,37,kept_single,0.016258169984864068,711,1924
dedup20,A,7,sparse_single,0.0388650567395703,894,4658
dedup20,A,17,sparse_single,0.03873192258626368,877,4621
dedup20,A,37,sparse_single,0.05804249817823404,768,6360
dedup20,A,7,sparse_context,0.016387345623637084,707,2298
dedup20,A,17,sparse_context,0.020694065878743784,815,2827
dedup20,A,37,sparse_context,0.027738798466973136,699,3383
dedup20,B,7,clean,0.0005448532718078658,460,494
dedup20,B,17,clean,-0.0024140716000250473,463,278
dedup20,B,37,clean,0.0009644435234614779,290,365
dedup20,B,7,uniform_half_0,0.00033812528634280525,580,596
dedup20,B,17,uniform_half_0,-0.0017951355292683546,561,421
dedup20,B,37,uniform_half_0,-0.0005106758151295354,451,414
dedup20,B,7,uniform_half_1,0.0002635405128357249,590,600
dedup20,B,17,uniform_half_1,-0.001543719042629954,530,410
dedup20,B,37,uniform_half_1,-4.1761345327739896e-05,428,427
dedup20,B,7,uniform_half_2,-0.0004229433157381113,608,566
dedup20,B,17,uniform_half_2,-0.0019079108612715112,547,399
dedup20,B,37,uniform_half_2,-0.00020840148076051168,417,403
dedup20,B,7,uniform_quarter_0,-0.0010943939466245833,687,593
dedup20,B,17,uniform_quarter_0,-0.002679906679100119,712,505
dedup20,B,37,uniform_quarter_0,-0.0010659282923550784,612,535
dedup20,B,7,uniform_quarter_1,-0.0016088816330048772,684,551
dedup20,B,17,uniform_quarter_1,-0.0029930187560320842,705,474
dedup20,B,37,uniform_quarter_1,-0.0013350748998808282,613,515
dedup20,B,7,uniform_quarter_2,-0.0016122240827336487,679,546
dedup20,B,17,uniform_quarter_2,-0.003284889660364665,742,489
dedup20,B,37,uniform_quarter_2,-0.00137894810613437,605,504
dedup20,B,7,central_half,-0.007719035512737449,836,233
dedup20,B,17,central_half,-0.0037228011509577996,670,379
dedup20,B,37,central_half,0.0010007246401665393,373,451
dedup20,B,7,xy_fraction6,0.0005594556270072104,464,499
dedup20,B,17,xy_fraction6,-0.0023624093673151325,459,278
dedup20,B,37,xy_fraction6,0.0009249509838173964,293,365
dedup20,B,7,xy_fraction4,0.00045518258833487923,469,496
dedup20,B,17,xy_fraction4,-0.002438781052426453,471,284
dedup20,B,37,xy_fraction4,0.0008595349390393414,294,361
dedup20,B,7,kept_single,-0.0012518787291613265,631,530
dedup20,B,17,kept_single,-0.0007325183635337185,692,636
dedup20,B,37,kept_single,0.0009155171358729008,587,663
dedup20,B,7,sparse_single,0.009400318265862628,1071,2001
dedup20,B,17,sparse_single,0.01163705626114353,1597,2755
dedup20,B,37,sparse_single,0.01722079431892376,1157,2854
dedup20,B,7,sparse_context,0.008540450523791154,836,1677
dedup20,B,17,sparse_context,0.0015722128745150332,1240,1402
dedup20,B,37,sparse_context,0.0053931995527273235,764,1294
dedup20,full21,7,clean,-8.628916482333882e-05,267,259
dedup20,full21,17,clean,0.0005569403544268825,245,289
dedup20,full21,37,clean,0.0008386988466440037,245,307
dedup20,full21,7,uniform_half_0,0.0008321693177832934,314,376
dedup20,full21,17,uniform_half_0,0.00017822616852025686,293,308
dedup20,full21,37,uniform_half_0,0.0005664048343669847,347,389
dedup20,full21,7,uniform_half_1,0.0008559127214569084,307,371
dedup20,full21,17,uniform_half_1,-4.0389933736451056e-05,297,296
dedup20,full21,37,uniform_half_1,0.00043408472232697726,343,375
dedup20,full21,7,uniform_half_2,0.0006427815992531283,293,341
dedup20,full21,17,uniform_half_2,-0.00028756234103977096,305,285
dedup20,full21,37,uniform_half_2,0.00039615859605590664,331,360
dedup20,full21,7,uniform_quarter_0,0.0019056621779942606,373,515
dedup20,full21,17,uniform_quarter_0,-0.00015149197149511018,382,373
dedup20,full21,37,uniform_quarter_0,0.0012349287364339379,408,501
dedup20,full21,7,uniform_quarter_1,0.0015094511181706904,375,487
dedup20,full21,17,uniform_quarter_1,0.0003761018102654834,368,400
dedup20,full21,37,uniform_quarter_1,0.0010217645607990544,409,486
dedup20,full21,7,uniform_quarter_2,0.0018343344312107268,362,499
dedup20,full21,17,uniform_quarter_2,0.0001471058529876057,373,387
dedup20,full21,37,uniform_quarter_2,0.001692788760901287,369,498
dedup20,full21,7,central_half,-0.001411020291923526,425,314
dedup20,full21,17,central_half,0.002228207241092295,278,453
dedup20,full21,37,central_half,0.000895166963839733,345,413
dedup20,full21,7,xy_fraction6,-0.00015133994081284463,267,254
dedup20,full21,17,xy_fraction6,0.0006092311858029165,245,293
dedup20,full21,37,xy_fraction6,0.0008519669551483311,241,304
dedup20,full21,7,xy_fraction4,-0.0002034098875609569,266,249
dedup20,full21,17,xy_fraction4,0.0005706940647038916,251,296
dedup20,full21,37,xy_fraction4,0.0009590067508572497,237,308
dedup20,full21,7,kept_single,0.0016665358648870754,402,525
dedup20,full21,17,kept_single,0.0002793228390095548,396,420
dedup20,full21,37,kept_single,0.0017579752833403184,431,564
dedup20,full21,7,sparse_single,0.0024850703638322758,445,687
dedup20,full21,17,sparse_single,-0.001319074656942143,493,365
dedup20,full21,37,sparse_single,0.0012249849578186423,605,721
dedup20,full21,7,sparse_context,0.0021057044316464824,366,571
dedup20,full21,17,sparse_context,-0.00031521401613643363,428,397
dedup20,full21,37,sparse_context,0.0017868290348318494,500,673
no_rcs18,A,7,clean,-0.018661105727949656,2033,600
no_rcs18,A,17,clean,-0.021152734695228714,2169,556
no_rcs18,A,37,clean,-0.016977901055087008,1977,684
no_rcs18,A,7,uniform_half_0,-0.02327526239488864,2567,762
no_rcs18,A,17,uniform_half_0,-0.02281467687990424,2620,856
no_rcs18,A,37,uniform_half_0,-0.020972095343150032,2424,805
no_rcs18,A,7,uniform_half_1,-0.022139396116656607,2581,862
no_rcs18,A,17,uniform_half_1,-0.02330144004470036,2688,888
no_rcs18,A,37,uniform_half_1,-0.019379250925095293,2382,886
no_rcs18,A,7,uniform_half_2,-0.023206827346897274,2581,781
no_rcs18,A,17,uniform_half_2,-0.02337599113962252,2638,831
no_rcs18,A,37,uniform_half_2,-0.020781126154919116,2434,830
no_rcs18,A,7,uniform_quarter_0,-0.016011487202784225,2813,1538
no_rcs18,A,17,uniform_quarter_0,-0.013420934172264531,2824,1748
no_rcs18,A,37,uniform_quarter_0,-0.011473361156023376,2617,1697
no_rcs18,A,7,uniform_quarter_1,-0.01793022330664984,2891,1472
no_rcs18,A,17,uniform_quarter_1,-0.013716173176508195,2796,1697
no_rcs18,A,37,uniform_quarter_1,-0.012179650393727703,2660,1688
no_rcs18,A,7,uniform_quarter_2,-0.01715181949847533,2812,1452
