tag,seed,condition,axis,group,samples,sequences,supported,accuracy,macro_f1
A,7,uniform_half_0,N_x_original_shape,17-32:elongated,14587,26,True,0.9904024131075615,0.9830504957749491
A,7,uniform_half_0,N_x_original_shape,17-32:intermediate,10253,25,True,0.9699600117038916,0.9690511751820126
A,7,uniform_half_0,N_x_original_shape,17-32:compact,1682,21,True,0.9720570749108205,0.9650530587525391
A,7,uniform_half_0,N_x_original_shape,33-64:elongated,5882,20,True,0.9960897653859232,0.9838431353627961
A,7,uniform_half_0,N_x_original_shape,33-64:intermediate,2658,22,True,0.9650112866817155,0.9582296018383476
A,7,uniform_half_0,N_x_original_shape,33-64:compact,302,14,True,0.9701986754966887,0.9676347658343156
A,7,uniform_half_0,N_x_original_shape,65-511:elongated,392,12,True,0.9872448979591837,0.6396396396396397
A,7,uniform_half_0,N_x_original_shape,65-511:intermediate,173,12,True,0.9653179190751445,0.8966958598726115
A,7,uniform_half_0,N_x_original_shape,65-511:compact,4,3,False,1.0,
A,7,uniform_half_0,history,none,1846,27,True,0.9171180931744312,0.9045002916339107
A,7,uniform_half_0,history,one_to_five,8062,27,True,0.9503845199702307,0.9389585782239914
A,7,uniform_half_0,history,six,70542,27,True,0.9812877434719741,0.9804629604103662
A,7,uniform_half_0,current_points,1,0,0,False,,
A,7,uniform_half_0,current_points,2,0,0,False,,
A,7,uniform_half_0,current_points,ge3,80450,27,True,0.9767184586699813,0.975395778277336
A,7,uniform_half_0,current_range,le20,26404,27,True,0.9776549007726102,0.976949183383691
A,7,uniform_half_0,current_range,20to40,36863,27,True,0.9813634267422618,0.9807235945688106
A,7,uniform_half_0,current_range,gt40,17183,27,True,0.9653145550835128,0.9576319911301232
A,7,uniform_half_1,retained_N,1-2,1615,27,True,0.9145510835913313,0.9045400343342345
A,7,uniform_half_1,retained_N,3-4,1566,27,True,0.9367816091954023,0.9274740542702566
A,7,uniform_half_1,retained_N,5-8,3392,27,True,0.9448702830188679,0.9375260450138603
A,7,uniform_half_1,retained_N,9-16,37944,27,True,0.9770714737507906,0.9769681037392183
A,7,uniform_half_1,retained_N,17-32,26522,27,True,0.9802805218309328,0.9787448101927618
A,7,uniform_half_1,retained_N,33-64,8842,23,True,0.9836009952499435,0.9669609895689868
