tag,seed,condition,samples,accuracy,macro_f1,f1_class0,f1_class1,recall_class0,recall_class1,true0_pred0,true0_pred1,true1_pred0,true1_pred1
A,37,uniform_half_2,80450,0.9758980733374767,0.9745479460959907,0.9686859062353644,0.9804099859566171,0.9817985399548237,0.9722862352964752,29991,556,1383,48520
A,37,uniform_quarter_0,80450,0.9579738968303294,0.9555394950102237,0.9451359026369168,0.9659430873835306,0.9533505745245032,0.9608039596817827,29122,1425,1956,47947
A,37,uniform_quarter_1,80450,0.9589310130515848,0.956548040347954,0.946372342152248,0.96672373854366,0.9543654041313386,0.961725747951025,29153,1394,1910,47993
A,37,uniform_quarter_2,80450,0.958483530142946,0.956074592845692,0.9457880214250933,0.9663611642662907,0.9537761482305954,0.9613650481934953,29135,1412,1928,47975
A,37,central_half,80450,0.9541330018645121,0.9522509515595975,0.9427711777660598,0.9617307253531352,0.9949913248436835,0.9291224976454321,30394,153,3537,46366
A,37,xy_fraction6,80450,0.9816904909881914,0.9806767245249165,0.9762507456911146,0.9851027033587184,0.9910956886109928,0.9759333106226079,30275,272,1201,48702
A,37,xy_fraction4,80450,0.9817775015537601,0.9807691304767587,0.9763655123492616,0.985172748604256,0.991292107244574,0.9759533494980261,30281,266,1200,48703
A,37,kept_single,80450,0.953847110006215,0.950993553863388,0.9391680456116782,0.9628190621150977,0.9382918126166235,0.9633689357353266,28662,1885,1828,48075
A,37,sparse_single,97734,0.8986330243313484,0.8975862118756761,0.9079403428890025,0.8872320808623496,0.9530628170113149,0.838597925721909,48854,2406,7501,38973
A,37,sparse_context,97734,0.939539975852825,0.9391422455325562,0.9440621006295262,0.9342223904355861,0.9727467811158799,0.9029134569867022,49863,1397,4512,41962
B,7,clean,80450,0.9810192666252331,0.9798569849646367,0.9750184049079754,0.984695565021298,0.9755131436802305,0.9843897160491353,29799,748,779,49124
B,7,uniform_half_0,80450,0.9774021131137353,0.9760239523178733,0.9702756613583597,0.9817722432773868,0.9713556159360984,0.9811033404805323,29672,875,943,48960
B,7,uniform_half_1,80450,0.9771410814170292,0.9757462342985932,0.9699298526742646,0.9815626159229219,0.9709300422300062,0.9809430294771857,29659,888,951,48952
B,7,uniform_half_2,80450,0.977302672467371,0.9759251382294554,0.9701663235630493,0.9816839528958613,0.9719448718368416,0.9805823297196561,29690,857,969,48934
B,7,uniform_quarter_0,80450,0.9715599751398384,0.9699205105693662,0.9628980995005514,0.9769429216381812,0.9719448718368416,0.9713243692763962,29690,857,1431,48472
B,7,uniform_quarter_1,80450,0.9727408328154133,0.9711632391694649,0.9644184122142359,0.977908066124694,0.9729269650047467,0.9726268961785864,29720,827,1366,48537
B,7,uniform_quarter_2,80450,0.9722436295835923,0.9706455567441683,0.9637964299032086,0.9774946835851281,0.9730251743215373,0.9717652245355991,29723,824,1409,48494
B,7,central_half,80450,0.9739838408949658,0.9726631273669815,0.9666544521802858,0.9786718025536771,0.9931253478246637,0.9622667975873194,30337,210,1883,48020
B,7,xy_fraction6,80450,0.9809571162212555,0.9797898758130179,0.9749329144577524,0.9846468371682835,0.9752839886077193,0.984429793799972,29792,755,777,49126
B,7,xy_fraction4,80450,0.9810441267868241,0.9798820921579613,0.9750470424609343,0.9847171418549883,0.9753821979245098,0.9845099493016451,29795,752,773,49130
B,7,kept_single,80450,0.9704785581106277,0.9688907952023991,0.9618627057406663,0.9759188846641318,0.9804563459586866,0.9643708795062421,29950,597,1778,48125
B,7,sparse_single,97734,0.9468966787402542,0.9467606611099284,0.9494516625435846,0.9440696596762722,0.9508778774873196,0.9425054869389335,48742,2518,2672,43802
B,7,sparse_context,97734,0.9585098328115088,0.9584273632743379,0.9602789777346773,0.9565757488139985,0.9562231759656652,0.9610319748676679,49016,2244,1811,44663
B,17,clean,80450,0.983430702299565,0.9824689671173142,0.9783628483776194,0.986575085857009,0.986578060038629,0.9815041179888985,30137,410,923,48980
B,17,uniform_half_0,80450,0.979502796768179,0.9783295735487578,0.973287327274789,0.9833718198227268,0.9834353619013324,0.9770955653968699,30041,506,1143,48760
B,17,uniform_half_1,80450,0.9786575512740833,0.9774387057225027,0.9721947822707324,0.9826826291742731,0.9826496873670082,0.9762138548784642,30017,530,1187,48716
B,17,uniform_half_2,80450,0.9789185829707893,0.9777161415002125,0.9725397493604482,0.9828925336399766,0.983173470389891,0.9763140492555558,30033,514,1182,48721
B,17,uniform_quarter_0,80450,0.9724673710379117,0.9709814166577906,0.9644148124347337,0.9775480208808474,0.9825842144891479,0.9662745726709817,30015,532,1683,48220
B,17,uniform_quarter_1,80450,0.9735114978247359,0.9720696159721156,0.9657235688665133,0.9784156630777178,0.9827478966837987,0.9678576438290283,30020,527,1604,48299
B,17,uniform_quarter_2,80450,0.9729645742697327,0.9715108549129237,0.9650753889879089,0.9779463208379384,0.9837627262906341,0.966354728172655,30051,496,1679,48224
B,17,central_half,80450,0.9702050963331261,0.9687697715247487,0.9620745850671645,0.9754649579823331,0.9952859527940551,0.9548524136825441,30403,144,2253,47650
B,17,xy_fraction6,80450,0.9834058421379739,0.9824430965988307,0.9783317914008862,0.9865544017967751,0.9866107964775592,0.9814440013626435,30138,409,926,48977
B,17,xy_fraction4,80450,0.983480422622747,0.9825209271627966,0.9784256749078749,0.9866161794177182,0.9865453235996988,0.98160431236599,30136,411,918,48985
B,17,kept_single,80450,0.9683157240522063,0.9666930866603645,0.9593415532834607,0.9740446200372682,0.9844501915081677,0.9584393723824219,30072,475,2074,47829
B,17,sparse_single,97734,0.941637505883316,0.9415369151744435,0.9439619601524738,0.9391118701964133,0.9372220054623488,0.9465077247493222,48042,3218,2486,43988
B,17,sparse_context,97734,0.9628379069719852,0.9627442599421805,0.9646121168423719,0.960876403041989,0.9656847444401092,0.9596978955975384,49501,1759,1873,44601
B,37,clean,80450,0.9822995649471722,0.9812892824655612,0.9769415117559428,0.9856370531751796,0.987527416767604,0.979099452938701,30166,381,1043,48860
B,37,uniform_half_0,80450,0.9794282162834058,0.9782600134021338,0.9732204980501934,0.9832995287540742,0.9844829279470979,0.9763340881309741,30073,474,1181,48722
B,37,uniform_half_1,80450,0.9784586699813549,0.9772356870608517,0.9719592900021035,0.9825120841196,0.9832389432677513,0.9755325331142416,30035,512,1221,48682
B,37,uniform_half_2,80450,0.9788688626476072,0.9776714782795638,0.9725008087997412,0.9828421477593864,0.9840573542410057,0.9756928441175882,30060,487,1213,48690
B,37,uniform_quarter_0,80450,0.9717215661901802,0.9701932387572778,0.9634438320505199,0.9769426454640356,0.9814057026876616,0.9657936396609422,29979,568,1707,48196
B,37,uniform_quarter_1,80450,0.9725170913610939,0.9710203892564859,0.9644345070535815,0.9776062714593905,0.9813729662487315,0.9670961665631325,29978,569,1642,48261
B,37,uniform_quarter_2,80450,0.972802983219391,0.9713315703879248,0.9648367189508871,0.9778264218249625,0.9826824238059384,0.9667555056810212,30018,529,1659,48244
B,37,central_half,80450,0.9702796768178993,0.9688475967387185,0.9621683201215171,0.9755268733559197,0.9953514256719154,0.9549325691842174,30405,142,2249,47654
B,37,xy_fraction6,80450,0.9823617153511498,0.9813548663516594,0.977022103473403,0.9856876292299158,0.9875928896454643,0.979159569564956,30168,379,1040,48863
B,37,xy_fraction4,80450,0.9823865755127408,0.9813811456097965,0.977054489515019,0.9857078017045741,0.9876256260843945,0.9791796084403743,30169,378,1039,48864
B,37,kept_single,80450,0.9679801118707272,0.9663362067123792,0.9588971151391371,0.9737752982856213,0.9836645169738436,0.958379255756167,30048,499,2077,47826
B,37,sparse_single,97734,0.9384860949106759,0.9384079157349864,0.9406022763199494,0.9362135551500234,0.9286383144752244,0.9493480225502432,47602,3658,2354,44120
B,37,sparse_context,97734,0.9615793889536907,0.961487844446802,0.9633654962487439,0.9596101926448601,0.9631681623097932,0.9598270000430348,49372,1888,1867,44607
full21,7,clean,80450,0.9815413300186451,0.9804881274012679,0.9759549215498956,0.9850213332526402,0.986578060038629,0.9784582089253151,30137,410,1075,48828
full21,7,uniform_half_0,80450,0.9768303293971411,0.9755299082864328,0.9698888601705867,0.9811709564022789,0.9827478966837987,0.9732080235657175,30020,527,1337,48566
full21,7,uniform_half_1,80450,0.9764698570540709,0.975153862089972,0.9694356987163962,0.9808720254635477,0.9827806331227289,0.9726068573031681,30021,526,1367,48536
full21,7,uniform_half_2,80450,0.9761839651957738,0.9748594133144641,0.9690887971089314,0.9806300295199968,0.9832062068288212,0.971885457788109,30034,513,1403,48500
full21,7,uniform_quarter_0,80450,0.9686264760720945,0.9669204544447474,0.9594081698295271,0.9744327390599676,0.9764625004092055,0.9638298298699477,29828,719,1805,48098
full21,7,uniform_quarter_1,80450,0.9696954630205097,0.9680449064182893,0.9607824212592092,0.9753073915773695,0.9776410122106918,0.9648317736408633,29864,683,1755,48148
full21,7,uniform_quarter_2,80450,0.9688875077688005,0.9671989982302239,0.9597569014582696,0.9746410950021782,0.9770844927488788,0.9638699076207843,29847,700,1803,48100
full21,7,central_half,80450,0.9678682411435674,0.9663551121461675,0.9592200539525785,0.9734901703397565,0.9952532163551249,0.9511051439793199,30402,145,2440,47463
full21,7,xy_fraction6,80450,0.9815537600994406,0.980500671380838,0.9759691679891181,0.9850321747725577,0.9865125871607686,0.97851832555157,30135,412,1072,48831
full21,7,xy_fraction4,80450,0.9815910503418273,0.9805406846338571,0.9760196894379767,0.9850616798297375,0.9866435329164893,0.9784982866761517,30139,408,1073,48830
full21,7,kept_single,80450,0.9676942200124301,0.9659723806083507,0.9583179638509775,0.973626797365724,0.978066585916784,0.9613450093180771,29877,670,1929,47974
full21,7,sparse_single,97734,0.9539361941596578,0.9536759090119588,0.9571482962116885,0.950203521812229,0.9808622707764338,0.924237207901192,50279,981,3521,42953
full21,7,sparse_context,97734,0.9650172918329343,0.9648621093664825,0.9671972291780598,0.9625269895549052,0.9833203277409286,0.9448293669578689,50405,855,2564,43910
full21,17,clean,80450,0.9805842137973897,0.9794979551628623,0.9747787896402506,0.9842171206854741,0.9881494091072773,0.9759533494980261,30185,362,1200,48703
full21,17,uniform_half_0,80450,0.9775761342448726,0.9763562118509692,0.9709855892949047,0.9817268344070338,0.9881821455462075,0.9710839027713765,30186,361,1443,48460
full21,17,uniform_half_1,80450,0.9771783716594158,0.9759353766136092,0.9704661712189943,0.9814045820082241,0.9874946803286738,0.9708634751417751,30165,382,1454,48449
full21,17,uniform_half_2,80450,0.9773275326289621,0.9760957929799807,0.9706695825561201,0.9815220034038414,0.9880511997904868,0.9707632807646834,30182,365,1459,48444
full21,17,uniform_quarter_0,80450,0.9700062150403977,0.9684530019501856,0.9614530583555648,0.9754529455448062,0.9851376567257014,0.9607438430555277,30093,454,1959,47944
full21,17,uniform_quarter_1,80450,0.9702423865755128,0.968700495405818,0.9617535227018564,0.9756474681097796,0.9853668117982126,0.9609843095605475,30100,447,1947,47956
full21,17,uniform_quarter_2,80450,0.9696457426973275,0.9680788593995714,0.9610066106728835,0.9751511081262593,0.9851049202867712,0.960182754543815,30092,455,1987,47916
full21,17,central_half,80450,0.9644126786824114,0.9628187631326987,0.9551204677629207,0.9705170585024766,0.9973156120077258,0.9442718874616757,30465,82,2781,47122
full21,17,xy_fraction6,80450,0.9805593536357986,0.9794714560457126,0.9747456806071371,0.9841972314842882,0.9880839362294169,0.9759533494980261,30183,364,1200,48703
full21,17,xy_fraction4,80450,0.9805966438781852,0.9795114520456663,0.9747961572616453,0.9842267468296872,0.9882148819851376,0.9759333106226079,30187,360,1201,48702
full21,17,kept_single,80450,0.9673213175885643,0.9656812454578212,0.958178896966419,0.9731835939492233,0.9859233312600255,0.955934512955133,30117,430,2199,47704
full21,17,sparse_single,97734,0.9547956698794687,0.9544930460925292,0.9582040414743056,0.9507820507107526,0.9879633242294187,0.9182123337780265,50643,617,3801,42673
full21,17,sparse_context,97734,0.9648126547567888,0.964631686832832,0.9671616137502984,0.9621017599153654,0.9879633242294187,0.9392778758015234,50643,617,2822,43652
full21,37,clean,80450,0.9824611559975139,0.9814150271423787,0.9770056874663885,0.985824366818369,0.9813074933708711,0.9831673446486183,29976,571,840,49063
full21,37,uniform_half_0,80450,0.9784462399005593,0.9771829327526372,0.971814044213264,0.9825518212920105,0.9785903689396668,0.9783580145482236,29893,654,1080,48823
full21,37,uniform_half_1,80450,0.9780484773151026,0.976759840993197,0.9712873540792768,0.9822323279071171,0.9778374308442728,0.9781776646694588,29870,677,1089,48814
full21,37,uniform_half_2,80450,0.9783343691733997,0.9770669182027474,0.9716755772949608,0.9824582591105341,0.9787213146953875,0.9780975091677855,29897,650,1093,48810
full21,37,uniform_quarter_0,80450,0.969608452454941,0.9678923817284888,0.9604695154484163,0.9753152480085614,0.9723704455429338,0.9679177604552832,29703,844,1601,48302
full21,37,uniform_quarter_1,80450,0.9703418272218769,0.968663549795806,0.9614115668262389,0.9759155327653732,0.9730251743215373,0.9686992765965974,29723,824,1562,48341
full21,37,uniform_quarter_2,80450,0.9699440646364201,0.9682598335208892,0.9609483510449304,0.9755713159968479,0.9739090581726519,0.967516982946917,29750,797,1621,48282
full21,37,central_half,80450,0.9704039776258546,0.9689531544150453,0.9622417101444679,0.9756645986856226,0.993190820702524,0.9564555237160091,30339,208,2173,47730
full21,37,xy_fraction6,80450,0.9824735860783095,0.9814278503803284,0.9770208604954368,0.9858348402652201,0.981274756931941,0.9832074223994549,29975,572,838,49065
full21,37,xy_fraction4,80450,0.9823368551895587,0.9812816737979786,0.9768374382630524,0.9857259093329047,0.9809146561037091,0.9832074223994549,29964,583,838,49065
full21,37,kept_single,80450,0.9672715972653823,0.9654937485649118,0.957661322741964,0.9733261743878595,0.9748256784626969,0.9626475362202673,29778,769,1864,48039
full21,37,sparse_single,97734,0.9546626557799742,0.9544037250960915,0.9578397510918277,0.9509676991003552,0.9819352321498245,0.9245814864225158,50334,926,3505,42969
full21,37,sparse_context,97734,0.965232160762887,0.9650942149646975,0.9672885500298427,0.9628998798995524,0.9801014436207569,0.9488316047682576,50240,1020,2378,44096
dedup20,7,clean,80450,0.9814418893722809,0.9804018382364446,0.9758870746321688,0.9849166018407202,0.989033292958392,0.9767949822655952,30212,335,1158,48745
dedup20,7,uniform_half_0,80450,0.9776009944064636,0.9763620776042161,0.9709504771730719,0.9817736780353603,0.9858578583821652,0.9725467406769132,30115,432,1370,48533
dedup20,7,uniform_half_1,80450,0.9772653822249845,0.9760097748114289,0.9705213957611412,0.9814981538617167,0.985628703309654,0.972145963168547,30108,439,1390,48513
dedup20,7,uniform_half_2,80450,0.976780609073959,0.9755021949137173,0.9699059157107874,0.9810984741166471,0.9854322846760729,0.9714846802797427,30102,445,1423,48480
dedup20,7,uniform_quarter_0,80450,0.9703915475450591,0.9688261166227417,0.9618403767902343,0.9758118564552489,0.9827478966837987,0.9628278860990321,30020,527,1855,48048
dedup20,7,uniform_quarter_1,80450,0.9710876320696085,0.96955435753646,0.96272196935701,0.97638674571591,0.9832389432677513,0.9636494799911829,30035,512,1814,48089
dedup20,7,uniform_quarter_2,80450,0.9705904288377875,0.9690333326614347,0.9620894087485979,0.9759772565742715,0.9828133695616591,0.9631084303548885,30022,525,1841,48062
dedup20,7,central_half,80450,0.9664885021752642,0.964944091854244,0.9575860549996854,0.9723021287088025,0.9963007824008905,0.9482395847945013,30434,113,2583,47320
dedup20,7,xy_fraction6,80450,0.9813921690490989,0.9803493314400251,0.9758224720189932,0.9848761908610569,0.9889678200805316,0.9767549045147587,30210,337,1160,48743
dedup20,7,xy_fraction4,80450,0.9813797389683033,0.9803372747462962,0.9758098375480412,0.984864711944551,0.9890987658362523,0.976654710137667,30214,333,1165,48738
dedup20,7,kept_single,80450,0.9692231199502797,0.9676389164732377,0.9604788507581804,0.9747989821882952,0.9849412380921203,0.959601627156684,30087,460,2016,47887
dedup20,7,sparse_single,97734,0.9564123027810179,0.956160979375791,0.9594802823063899,0.9528416764451922,0.9839445961763559,0.9260446701381417,50437,823,3437,43037
dedup20,7,sparse_context,97734,0.9671148218634252,0.966967813798129,0.969171446659121,0.9647641809371369,0.9855637924307452,0.946765933640315,50520,740,2474,44000
dedup20,17,clean,80450,0.9811311373523928,0.9800548955172892,0.9754217803827596,0.9846880106518187,0.9860870134546764,0.9780975091677855,30122,425,1093,48810
dedup20,17,uniform_half_0,80450,0.9777625854568055,0.9765344380194895,0.971166089128858,0.9819027869101209,0.9862834320882574,0.9725467406769132,30128,419,1370,48533
dedup20,17,uniform_half_1,80450,0.9771659415786202,0.9758949866798727,0.9703599722477694,0.981430001111976,0.9843847186303074,0.9727471294310963,30070,477,1360,48543
dedup20,17,uniform_half_2,80450,0.9770789310130515,0.975808230638941,0.9702638199058247,0.9813526413720572,0.9848430287753298,0.9723263130473118,30084,463,1381,48522
dedup20,17,uniform_quarter_0,80450,0.9698943443132381,0.9683015099786905,0.9611958472186619,0.975407172738719,0.9819949585884048,0.9624872252169209,29997,550,1872,48031
dedup20,17,uniform_quarter_1,80450,0.9706401491609695,0.9690765972160835,0.9621231558691469,0.9760300385630201,0.9820604314662651,0.9636494799911829,29999,548,1814,48089
dedup20,17,uniform_quarter_2,80450,0.9698197638284649,0.968225965252559,0.9611096873398257,0.9753422431652923,0.9821586407830556,0.9622667975873194,30002,545,1883,48020
dedup20,17,central_half,80450,0.9665879428216283,0.965046970373791,0.9577079203247427,0.9723860204228391,0.9963335188398206,0.9483798569224295,30435,112,2576,47327
dedup20,17,xy_fraction6,80450,0.9811559975139839,0.9800806872315155,0.9754525729460151,0.984708801517016,0.9860542770157462,0.9781576257940404,30121,426,1090,48813
dedup20,17,xy_fraction4,80450,0.9811559975139839,0.9800821461103701,0.9754573417516594,0.984706950469081,0.9862506956493272,0.9780373925415305,30127,420,1096,48807
dedup20,17,kept_single,80450,0.967619639527657,0.9659605682968307,0.9584456603231827,0.9734754762704788,0.9834680983402625,0.9579183616215458,30042,505,2100,47803
dedup20,17,sparse_single,97734,0.9534859925921378,0.953173971435587,0.9569963674890268,0.9493515753821472,0.9867928209129926,0.9167491500624004,50583,677,3869,42605
dedup20,17,sparse_context,97734,0.9644954672887633,0.9643164728166955,0.9668437547775569,0.961789190855834,0.9869879047990636,0.9396867065455954,50593,667,2803,43671
dedup20,37,clean,80450,0.9832318210068366,0.9822537259890227,0.9780874876143137,0.9864199643637316,0.9855959668707238,0.9817846622447548,30107,440,909,48994
dedup20,37,uniform_half_0,80450,0.9789683032939714,0.9777493375870042,0.972541382667965,0.9829572925060435,0.9809146561037091,0.9777768871610926,29964,583,1109,48794
dedup20,37,uniform_half_1,80450,0.9784462399005593,0.977193925715524,0.9718497353810188,0.9825381160500292,0.9798670900579435,0.9775764984069094,29932,615,1119,48784
dedup20,37,uniform_half_2,80450,0.9786948415164699,0.9774630767988033,0.9721942831186529,0.9827318704789538,0.9809146561037091,0.9773360319018897,29964,583,1131,48772
dedup20,37,uniform_quarter_0,80450,0.9707644499689247,0.9691273104649227,0.9620179574962858,0.9762366634335596,0.9750875699741383,0.9681181492094664,29786,761,1591,48312
dedup20,37,uniform_quarter_1,80450,0.9712989434431324,0.9696853143566051,0.9626912698540936,0.9766793588591166,0.975218515729859,0.9688996653507805,29790,757,1552,48351
dedup20,37,uniform_quarter_2,80450,0.9715475450590428,0.9699526222817905,0.9630299604296213,0.9768752841339597,0.9759714538252529,0.9688395487245256,29813,734,1555,48348
dedup20,37,central_half,80450,0.9712492231199503,0.969848321378885,0.9633491261151341,0.9763475166426359,0.9951222705994042,0.9566358735947739,30398,149,2164,47739
dedup20,37,xy_fraction6,80450,0.9832566811684276,0.9822798173354768,0.9781192638196261,0.9864403708513273,0.9855959668707238,0.9818247399955915,30107,440,907,48996
dedup20,37,xy_fraction4,80450,0.983219390926041,0.9822406805488358,0.9780716002858814,0.9864097608117903,0.9855959668707238,0.9817646233693366,30107,440,910,48993
dedup20,37,kept_single,80450,0.968924798011187,0.9672517238482521,0.9598496771914046,0.9746537705050997,0.978263004550365,0.96320862473198,29883,664,1836,48067
dedup20,37,sparse_single,97734,0.9558495508216178,0.9556287100539101,0.958759043859733,0.9524983762480873,0.9784822473663676,0.930886086844257,50157,1103,3212,43262
dedup20,37,sparse_context,97734,0.9670022714715452,0.9668810439995293,0.9688847723523112,0.9648773156467475,0.979535700351151,0.9531781210999699,50211,1049,2176,44298
no_rcs18,7,clean,80450,0.9634679925419515,0.9615565246628862,0.9529842747676409,0.9701287745581315,0.9750875699741383,0.9563553293389175,29786,761,2178,47725
no_rcs18,7,uniform_half_0,80450,0.9542821628340584,0.9521205158824474,0.9419470926194835,0.9622939391454113,0.9768226012374374,0.9404845400076147,29839,708,2970,46933
no_rcs18,7,uniform_half_1,80450,0.9540087010565569,0.9518255881159522,0.9415703366811952,0.9620808395507092,0.9759387173863228,0.9405847343847064,29812,735,2965,46938
no_rcs18,7,uniform_half_2,80450,0.9540087010565569,0.9518298585259297,0.941585096305652,0.9620746207462074,0.976200608897764,0.9404244233813598,29820,727,2973,46930
no_rcs18,7,uniform_quarter_0,80450,0.9452454940957116,0.9428511626256518,0.9311535876717253,0.9545487375795784,0.9751857792909288,0.9269182213494179,29789,758,3647,46256
no_rcs18,7,uniform_quarter_1,80450,0.9454568054692355,0.9430386300338998,0.9313022513072612,0.9547750087605384,0.9736799031001407,0.9281806705007715,29743,804,3584,46319
no_rcs18,7,uniform_quarter_2,80450,0.9454568054692355,0.9430514085144655,0.9313473934539083,0.9547554235750226,0.9743673683176745,0.9277598541169869,29764,783,3605,46298
no_rcs18,7,central_half,80450,0.9398259788688627,0.9377096033466729,0.9262278843662852,0.9491913223270605,0.9948603790879628,0.9061379075406288,30390,157,4684,45219
no_rcs18,7,xy_fraction6,80450,0.9633809819763829,0.961462937692183,0.9528655083037343,0.9700603670806317,0.9748256784626969,0.9563753682143358,29778,769,2177,47726
no_rcs18,7,xy_fraction4,80450,0.9635301429459292,0.9616176705916301,0.953049990398771,0.9701853507844891,0.974858414901627,0.9565957958439373,29779,768,2166,47737
no_rcs18,7,kept_single,80450,0.9408825357364823,0.9385008264779311,0.9263982172150175,0.9506034357408446,0.9798343536190133,0.9170390557681903,29931,616,4140,45763
no_rcs18,7,sparse_single,97734,0.943550862545276,0.9430324836561428,0.9484667046526617,0.9375982626596238,0.9904408895825205,0.891831992081594,50770,490,5027,41447
no_rcs18,7,sparse_context,97734,0.9522786338428797,0.9519585135889964,0.9558801271378841,0.9480369000401088,0.9856418259851736,0.9154796230150192,50524,736,3928,42546
no_rcs18,17,clean,80450,0.9626103169670602,0.9604978943381108,0.9513630630921968,0.9696327255840249,0.9630732968867647,0.9623269142135743,29419,1128,1880,48023
no_rcs18,17,uniform_half_0,80450,0.9539589807333748,0.9516667290863905,0.9411409502621961,0.9621925079105849,0.9694241660392182,0.9444923150912771,29613,934,2770,47133
no_rcs18,17,uniform_half_1,80450,0.9534742075823492,0.9511375055141496,0.9404521373912214,0.9618228736370776,0.9675909254591285,0.9448329759733883,29557,990,2753,47150
no_rcs18,17,uniform_half_2,80450,0.9536482287134866,0.9513468613554321,0.9407653328673773,0.9619283898434868,0.9693914296002881,0.9440113820812376,29612,935,2794,47109
