tag,seed,condition,axis,group,samples,sequences,supported,accuracy,macro_f1,equivalent_existing_group
proxy_natural,7,sparse_context,N_x_original_shape,1-2:undefined_low_support,29596,27,True,0.9378970131098797,0.9372107991688075,retained_N:1-2
proxy_natural,17,sparse_context,N_x_original_shape,1-2:undefined_low_support,29596,27,True,0.9374915529125557,0.9368711381239334,retained_N:1-2
proxy_natural,37,sparse_context,N_x_original_shape,1-2:undefined_low_support,29596,27,True,0.9392147587511825,0.9385347383552812,retained_N:1-2
mean_synthetic,7,sparse_context,N_x_original_shape,1-2:undefined_low_support,29596,27,True,0.9432017840248682,0.9422132107392214,retained_N:1-2
mean_synthetic,17,sparse_context,N_x_original_shape,1-2:undefined_low_support,29596,27,True,0.9369847276659008,0.9357743067828072,retained_N:1-2
mean_synthetic,37,sparse_context,N_x_original_shape,1-2:undefined_low_support,29596,27,True,0.9348560616299499,0.9332918605070504,retained_N:1-2
mean_natural,7,sparse_context,N_x_original_shape,1-2:undefined_low_support,29596,27,True,0.9401270441951615,0.9394766636620641,retained_N:1-2
mean_natural,17,sparse_context,N_x_original_shape,1-2:undefined_low_support,29596,27,True,0.9391471820516286,0.9384857219228031,retained_N:1-2
mean_natural,37,sparse_context,N_x_original_shape,1-2:undefined_low_support,29596,27,True,0.9390120286525206,0.9383082926919739,retained_N:1-2
mean_synthetic_q12,7,sparse_context,N_x_original_shape,1-2:undefined_low_support,29596,27,True,0.9432017840248682,0.9422132107392214,retained_N:1-2
mean_synthetic_q12,17,sparse_context,N_x_original_shape,1-2:undefined_low_support,29596,27,True,0.9369847276659008,0.9357743067828072,retained_N:1-2
mean_synthetic_q12,37,sparse_context,N_x_original_shape,1-2:undefined_low_support,29596,27,True,0.9348560616299499,0.9332918605070504,retained_N:1-2
mean_synthetic_q16,7,sparse_context,N_x_original_shape,1-2:undefined_low_support,29596,27,True,0.9432017840248682,0.9422132107392214,retained_N:1-2
mean_synthetic_q16,17,sparse_context,N_x_original_shape,1-2:undefined_low_support,29596,27,True,0.9369847276659008,0.9357743067828072,retained_N:1-2
mean_synthetic_q16,37,sparse_context,N_x_original_shape,1-2:undefined_low_support,29596,27,True,0.9348560616299499,0.9332918605070504,retained_N:1-2
mean_natural_q12,7,sparse_context,N_x_original_shape,1-2:undefined_low_support,29596,27,True,0.9401270441951615,0.9394766636620641,retained_N:1-2
mean_natural_q12,17,sparse_context,N_x_original_shape,1-2:undefined_low_support,29596,27,True,0.9391471820516286,0.9384857219228031,retained_N:1-2
mean_natural_q12,37,sparse_context,N_x_original_shape,1-2:undefined_low_support,29596,27,True,0.9390120286525206,0.9383082926919739,retained_N:1-2
mean_natural_q16,7,sparse_context,N_x_original_shape,1-2:undefined_low_support,29596,27,True,0.9401270441951615,0.9394766636620641,retained_N:1-2
mean_natural_q16,17,sparse_context,N_x_original_shape,1-2:undefined_low_support,29596,27,True,0.9391471820516286,0.9384857219228031,retained_N:1-2
mean_natural_q16,37,sparse_context,N_x_original_shape,1-2:undefined_low_support,29596,27,True,0.9390120286525206,0.9383082926919739,retained_N:1-2
