tag,first10_mean_ce,last10_mean_ce,last_epoch_ce,final_macro_f1,epochs
mean_natural_seed17,0.06479247473142537,0.0510049956645703,0.05030844526775577,0.9825755941196623,60
mean_natural_seed37,0.06458180731101919,0.05058392667344482,0.05059936617528298,0.9823052876323091,60
mean_natural_seed7,0.06488508582707106,0.0515360345789172,0.05123486202144417,0.9823599312337672,60
mean_synthetic_seed17,0.0634620441209102,0.05130965493179714,0.051505606469435014,0.9828330287045024,60
mean_synthetic_seed37,0.0667444023462442,0.053970249724779006,0.05346125723525619,0.9819761002299019,60
mean_synthetic_seed7,0.06581692818824042,0.053704733276770625,0.05356665283950568,0.9829129596768764,60
proxy_natural_seed17,0.06469784222504324,0.05265350974829924,0.05229718411395728,0.9794979551628623,60
proxy_natural_seed37,0.06502760719395266,0.05314114966152546,0.053297901034779605,0.9814150271423787,60
proxy_natural_seed7,0.06611167170011956,0.054763138995897596,0.05478482536889913,0.9804881274012679,60
proxy_synthetic_seed17,0.06465886576231038,0.05276276674924896,0.052781568872967054,0.9814941586137604,60
proxy_synthetic_seed37,0.06681991438447105,0.0549139083111316,0.054441400345842925,0.9822476859812297,60
proxy_synthetic_seed7,0.06854823101048083,0.05669380072270218,0.05673887463841098,0.9804796537691061,60
