tag,dim,clean,quarter,central,sparse_single,sparse_context,composite,seed7,seed17,seed37
A,21,0.9808745646096092,0.957659484388307,0.9527592947429516,0.9097747277870734,0.9444483735483334,0.9491032890152549,0.95216995719133,0.9499821326330136,0.9451577772214211
B,21,0.9812050781825041,0.9709818213808353,0.9700934985434829,0.9422351640064527,0.9608864892211068,0.9650804102668763,0.9656569144420434,0.9654081085879259,0.9641762077706595
base16,16,0.9814311857274016,0.9695452556313633,0.9658980412736066,0.9551365232636856,0.966136517685516,0.9676295047163146,0.9670255516376379,0.9671152749701359,0.96874768754117
geometry19,19,0.9817782000291914,0.9700908450138792,0.9684356505543175,0.9515546451024104,0.9654473212330891,0.9674613323865776,0.9658956684697332,0.9678677392077779,0.9686205894822215
distribution20,20,0.9850529892224523,0.970469727726064,0.9702993724271902,0.9524197404870348,0.9682090223424806,0.9692901704410444,0.9680238225314065,0.9694841702555678,0.9703625185361586
combined23,23,0.9849057690776286,0.9712133311606288,0.9717357633502618,0.9524765698817664,0.9676906633632866,0.9696044193667145,0.9687568855591634,0.9695596976357503,0.9704966749052296
redundant23,23,0.9815193507907493,0.9694207860598958,0.965620010146731,0.9538378024517148,0.9656834692350542,0.9672162837368289,0.9670584582625013,0.9664204113389496,0.968169981609036
