configuration,condition,seed_count,macro_f1_mean_percent,seed_standard_deviation_pp
A 原代理,clean,3,98.08745646096092,0.07238889981580543
A 原代理,uniform_quarter_0,3,95.69610895952519,0.17127798323220447
A 原代理,central_half,3,95.27592947429515,0.0516062573820335
A 原代理,kept_single,3,95.25694098552776,0.1963476670015155
A 原代理,sparse_single,3,90.97747277870734,1.0651576831139735
A 原代理,sparse_context,3,94.44483735483334,0.5763670699538772
A 均值修正,clean,3,98.16373222611789,0.06542717181193769
A 均值修正,uniform_quarter_0,3,95.27766900531935,0.38393660134373403
A 均值修正,central_half,3,95.7712380904842,0.20145954976142563
A 均值修正,kept_single,3,94.70502486827142,0.5492819040197858
A 均值修正,sparse_single,3,89.70338162235275,1.2655984434488574
A 均值修正,sparse_context,3,93.40856874710084,0.15653743424126723
A 共享矩,clean,3,98.0127177716566,0.17151508358335163
A 共享矩,uniform_quarter_0,3,95.31773565913807,0.564307153740829
A 共享矩,central_half,3,95.57247067951262,0.9978014452217192
A 共享矩,kept_single,3,94.90360744762363,1.2893295879998679
A 共享矩,sparse_single,3,88.6987534444281,3.052519159346361
A 共享矩,sparse_context,3,92.75660070181766,1.1248525839020873
B 原代理＋扰动训练,clean,3,98.12050781825042,0.13080254058849106
B 原代理＋扰动训练,uniform_quarter_0,3,97.03650553281449,0.055092752030766474
B 原代理＋扰动训练,central_half,3,97.00934985434829,0.2225704025448621
B 原代理＋扰动训练,kept_single,3,96.73066961917142,0.13834262109190817
B 原代理＋扰动训练,sparse_single,3,94.22351640064527,0.42199232692319766
B 原代理＋扰动训练,sparse_context,3,96.08864892211068,0.22203874190805056
B 均值＋扰动训练,clean,3,98.12662130821069,0.18271680090379835
B 均值＋扰动训练,uniform_quarter_0,3,96.9923521812354,0.2833239140714615
B 均值＋扰动训练,central_half,3,97.15637574127192,0.35052757021164377
B 均值＋扰动训练,kept_single,3,96.59586160771745,0.18511282613040733
B 均值＋扰动训练,sparse_single,3,94.02080865517148,0.3213105804256863
B 均值＋扰动训练,sparse_context,3,96.02032931613735,0.2861435992006588
B 矩＋扰动训练,clean,3,98.16365800286736,0.09888818612062313
B 矩＋扰动训练,uniform_quarter_0,3,97.12386473295994,0.08150835086898829
B 矩＋扰动训练,central_half,3,96.84665589384433,0.45195564441560004
B 矩＋扰动训练,kept_single,3,96.8205398057828,0.052245450372982415
B 矩＋扰动训练,sparse_single,3,94.4408641541916,0.7262014533751467
B 矩＋扰动训练,sparse_context,3,95.91976054712903,0.1260408636885095
C 更细线性定标,clean,3,98.13504488242882,0.08609962591025952
C 更细线性定标,uniform_quarter_0,3,95.17794575182147,0.41130731580324353
C 更细线性定标,central_half,3,95.8629437428391,0.1795557137473818
C 更细线性定标,kept_single,3,94.61330511840089,0.789267506129668
C 更细线性定标,sparse_single,3,89.25395067504923,1.2798582507945786
C 更细线性定标,sparse_context,3,92.57750480382724,1.1501790815788195
C 开平方编码,clean,3,98.1462227625682,0.12653708562242086
C 开平方编码,uniform_quarter_0,3,94.99604841365688,0.4505877940811329
C 开平方编码,central_half,3,95.89921644488989,0.2910060607075653
C 开平方编码,kept_single,3,94.68457638124806,0.5725239377623624
C 开平方编码,sparse_single,3,88.66959808050704,2.7641442498036013
C 开平方编码,sparse_context,3,92.18847631633149,1.855315517479952
