axis,group,samples,A_f1,B_f1,delta_pp
history,none,29596,88.37519822835156,93.89332129537244,5.5181230670208805
history,one_to_five,20891,94.66370787408448,95.21753979159872,0.5538319175142448
history,six,47247,98.12674467714135,97.72663682646773,-0.40010785067362065
current_points,1,58612,92.75716374328496,95.5539625584432,2.7967988151582404
current_points,2,39122,96.86862133007457,96.86156839089364,-0.007052939180937301
current_range,le20,11734,97.20075207066009,96.30380861195276,-0.8969434587073266
current_range,20to40,33802,95.46055305081279,95.55548871537974,0.0949356645669468
current_range,gt40,52198,92.53041147576118,95.76817386785092,3.237762392089735
