tag,condition,seed7,seed17,seed37,mean,min,max
A,clean,0.9802176303908359,0.9816506290333396,0.9807554344046521,0.9808745646096092,0.9802176303908359,0.9816506290333396
A,quarter_mean,0.9600115770606421,0.9569128333696556,0.9560540427346232,0.957659484388307,0.9560540427346232,0.9600115770606421
A,central_half,0.9527441876944598,0.9532827449747974,0.9522509515595975,0.9527592947429516,0.9522509515595975,0.9532827449747974
A,sparse_single,0.9172959226362207,0.9144420488493233,0.8975862118756761,0.9097747277870734,0.8975862118756761,0.9172959226362207
A,sparse_context,0.9505804681744919,0.9436224069379517,0.9391422455325562,0.9444483735483334,0.9391422455325562,0.9505804681744919
A,composite,0.95216995719133,0.9499821326330136,0.9451577772214211,0.9491032890152549,0.9451577772214211,0.95216995719133
B,clean,0.9798569849646367,0.9824689671173142,0.9812892824655612,0.9812050781825041,0.9798569849646367,0.9824689671173142
B,quarter_mean,0.970576435494333,0.9715206291809433,0.9708483994672296,0.9709818213808353,0.970576435494333,0.9715206291809433
B,central_half,0.9726631273669815,0.9687697715247487,0.9688475967387185,0.9700934985434829,0.9687697715247487,0.9726631273669815
B,sparse_single,0.9467606611099284,0.9415369151744435,0.9384079157349864,0.9422351640064527,0.9384079157349864,0.9467606611099284
B,sparse_context,0.9584273632743379,0.9627442599421805,0.961487844446802,0.9608864892211068,0.9584273632743379,0.9627442599421805
B,composite,0.9656569144420434,0.9654081085879259,0.9641762077706595,0.9650804102668763,0.9641762077706595,0.9656569144420434
C,clean,0.9812430954409057,0.9822332051282703,0.9805212929012936,0.9813325311568232,0.9805212929012936,0.9822332051282703
C,quarter_mean,0.970930396719007,0.970469028662524,0.9697871556119892,0.97039552699784,0.9697871556119892,0.970930396719007
C,central_half,0.9647943266810246,0.9685549790109182,0.9666766324384355,0.9666753127101261,0.9647943266810246,0.9685549790109182
C,sparse_single,0.9408145888403652,0.9450785667539725,0.9450700755153232,0.943654410369887,0.9408145888403652,0.9450785667539725
C,sparse_context,0.960530629668843,0.9624329425774334,0.963511167767962,0.9621582466714127,0.960530629668843,0.963511167767962
C,composite,0.963662607470029,0.9657537444266238,0.9651132648470007,0.9648432055812178,0.963662607470029,0.9657537444266238
proxy_synthetic,clean,0.9804796537691061,0.9814941586137604,0.9822476859812297,0.9814071661213655,0.9804796537691061,0.9822476859812297
proxy_synthetic,quarter_mean,0.9689590856956466,0.9705852555510842,0.9705006063690423,0.970014982538591,0.9689590856956466,0.9705852555510842
proxy_synthetic,central_half,0.9641038754865545,0.9657567277987209,0.969025153587886,0.9662952522910538,0.9641038754865545,0.969025153587886
proxy_synthetic,sparse_single,0.9498398370875751,0.9451383091484742,0.9357693639240443,0.9435825033866978,0.9357693639240443,0.9498398370875751
proxy_synthetic,sparse_context,0.9638866921060748,0.9647810492815352,0.9612075201199943,0.963291753835868,0.9612075201199943,0.9647810492815352
proxy_synthetic,composite,0.9654538288289916,0.965551100078715,0.9637500659964393,0.9649183316347152,0.9637500659964393,0.965551100078715
proxy_natural,clean,0.9804881274012679,0.9794979551628623,0.9814150271423787,0.9804670365688363,0.9794979551628623,0.9814150271423787
proxy_natural,quarter_mean,0.9673881196977536,0.9684107855851917,0.9682719216817279,0.9680236089882244,0.9673881196977536,0.9684107855851917
proxy_natural,central_half,0.9663551121461675,0.9628187631326987,0.9689531544150453,0.9660423432313038,0.9628187631326987,0.9689531544150453
proxy_natural,sparse_single,0.9536759090119588,0.9544930460925292,0.9544037250960915,0.9541908934001931,0.9536759090119588,0.9544930460925292
proxy_natural,sparse_context,0.9648621093664825,0.964631686832832,0.9650942149646975,0.9648626703880039,0.964631686832832,0.9650942149646975
proxy_natural,composite,0.966553875524726,0.9659704473612228,0.9676276086599881,0.9667173105153123,0.9659704473612228,0.9676276086599881
mean_synthetic,clean,0.9829129596768764,0.9828330287045024,0.9819761002299019,0.9825740295370936,0.9819761002299019,0.9829129596768764
mean_synthetic,quarter_mean,0.9697586617310966,0.971539109943798,0.9697919599340254,0.97036324386964,0.9697586617310966,0.971539109943798
mean_synthetic,central_half,0.9699038437544543,0.9666828879873446,0.9692449009852511,0.9686105442423499,0.9666828879873446,0.9699038437544543
mean_synthetic,sparse_single,0.9472662970292304,0.9411220937086537,0.9324442398515096,0.940277543529798,0.9324442398515096,0.9472662970292304
mean_synthetic,sparse_context,0.9651166567422724,0.9632752204573194,0.96077069669422,0.9630541912979372,0.96077069669422,0.9651166567422724
mean_synthetic,composite,0.9669916837867861,0.9650904681603236,0.9628455795389815,0.9649759104953638,0.9628455795389815,0.9669916837867861
mean_natural,clean,0.9823599312337672,0.9825755941196623,0.9823052876323091,0.9824136043285795,0.9823052876323091,0.9825755941196623
mean_natural,quarter_mean,0.969370517198371,0.970267018272719,0.9693760592218913,0.9696711982309938,0.969370517198371,0.970267018272719
mean_natural,central_half,0.9683034211972321,0.9655542894727654,0.9669695712726671,0.9669424273142216,0.9655542894727654,0.9683034211972321
mean_natural,sparse_single,0.9559887253177543,0.9533986566396357,0.9550410253313515,0.9548094690962472,0.9533986566396357,0.9559887253177543
mean_natural,sparse_context,0.9662870779199129,0.967118039527546,0.9657512386036418,0.9663854520170335,0.9657512386036418,0.967118039527546
mean_natural,composite,0.9684619345734076,0.9677827196064657,0.9678886364123722,0.968044430197415,0.9677827196064657,0.9684619345734076
